,Root,SearchRoot,Parents,Meanings,SearchMeanings,Lang,Clade_Count,Hellenic,Anatolian,Balto-Slavic,Germanic,Albanian,Italic,Celtic,Armenian,Tocharian,Indo-Iranic
19536,"perfinō, perfinēs", perfinō | perfinēs ,['bʰeyh₂-'],i break, i break ,la,1,0,0,0,0,0,1,0,0,0,0
19537,finō, finō ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
19538,bʰinéh₂ti, bʰinéh₂ti ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,2,0,0,0,0,0,1,1,0,0,0
19539,"bìti, bьjǫ", bìti | bьjǫ ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19540,bī́ˀtei, bī́ˀtei ,['bʰeyh₂-'],to beat, to beat ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19541,bʰih₂yéti, bʰih₂yéti ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19542,bjá, bjá ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",is,1,0,0,0,1,0,0,0,0,0,0
19543,"bijēną, biēną", bijēną | biēną ,['bʰeyh₂-'],to hit, to hit ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
19544,bʰih₂éh₁yeti, bʰih₂éh₁yeti ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
19545,"biti, bišę, bi(tъ)", biti | bišę | bi(tъ) | biti | bišę | bitъ | biti | bišę | bi ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19546,"bʰḗyh₂st, bʰéyh₂sn̥t", bʰḗyh₂st | bʰéyh₂sn̥t ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19547,φιτρός, φιτρός ,['bʰeyh₂-'],"trunk, log"," trunk, log ",grc,1,1,0,0,0,0,0,0,0,0,0
19548,pʰītrós, pʰītrós ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",grk-pro,1,1,0,0,0,0,0,0,0,0,0
19549,bʰih₂trós, bʰih₂trós ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
19550,bìtva, bìtva ,['bʰeyh₂-'],"a battle, fight"," a battle, fight ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19551,bī́ˀtwāˀ, bī́ˀtwāˀ ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19552,bʰih₂tweh₂, bʰih₂tweh₂ ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19553,bojь, bojь ,['bʰeyh₂-'],"a battle, fight"," a battle, fight ",sla-pro,1,0,0,1,0,0,0,0,0,0,0
19554,baiˀjas, baiˀjas ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19555,bʰoyh₂ós, bʰoyh₂ós ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
19556,bainą, bainą ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
19557,bʰoyh₂nóm, bʰoyh₂nóm ,['bʰeyh₂-'],"to hew, to cut, to strike, to hit"," to hew, to cut, to strike, to hit ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
19558,bʰeydʰ-, bʰeydʰ- ,['none'],"to trust, to convince"," to trust, to convince ",ine-pro,6,1,0,1,1,1,1,1,0,0,0
19559,bʰéydʰeti, bʰéydʰeti ,['bʰeydʰ-'],to trust, to trust ,ine-pro,3,1,0,0,1,0,1,0,0,0,0
19560,bīdaną, bīdaną ,"['bʰebʰóydʰe', 'bʰéydʰeti']",to trust, to trust ,gem-pro,1,0,0,0,1,0,0,0,0,0,0
19561,pʰéitʰō, pʰéitʰō ,['bʰéydʰeti'],to trust, to trust ,grk-pro,1,1,0,0,0,0,0,0,0,0,0
